1,L,lG_and_S_frontomargin,-24.026,53.836,-6.229,Frontal
2,L,lG_and_S_occipital_inf,-39.27,-81.242,-11.977,Occipital
3,L,lG_and_S_paracentral,-7.879,-36.062,68.083,Parietal
4,L,lG_and_S_subcentral,-56.559,-11.103,15.503,Parietal
5,L,lG_and_S_transv_frontopol,-15.187,61.795,0.472,Frontal
6,L,lG_and_S_cingul.Ant,-10.877,39.073,8.334,Limbic
7,L,lG_and_S_cingul.Mid.Ant,-10.191,13.856,35.766,Limbic
8,L,lG_and_S_cingul.Mid.Post,-10.189,-11.567,39.832,Limbic
9,L,lG_cingul.Post.dorsal,-5.101,-36.409,30.514,Limbic
10,L,lG_cingul.Post.ventral,-9.817,-46.978,5.625,Limbic
11,L,lG_cuneus,-5.703,-82.559,15.05,Occipital
12,L,lG_front_inf.Opercular,-50.085,11.87,7.46,Frontal
13,L,lG_front_inf.Orbital,-44.306,30.741,-10.499,Frontal
14,L,lG_front_inf.Triangul,-48.826,29.933,3.848,Frontal
15,L,lG_front_middle,-37.27,29.7,31.553,Frontal
16,L,lG_front_sup,-9.03,21.65,51.327,Frontal
17,L,lG_Ins_lg_and_S_cent_ins,-36.46,-7.484,-0.058,Insula
18,L,lG_insular_short,-35.043,8.586,-2.554,Insula
19,L,lG_occipital_middle,-39.239,-82.374,11.232,Occipital
20,L,lG_occipital_sup,-14.847,-86.955,26.707,Occipital
21,L,lG_oc.temp_lat.fusifor,-35.646,-53.889,-17.966,Occipital
22,L,lG_oc.temp_med.Lingual,-11.197,-73.654,-5.086,Occipital
23,L,lG_oc.temp_med.Parahip,-23.67,-19.45,-26.838,Temporal
24,L,lG_orbital,-27.36,30.677,-17.425,Frontal
25,L,lG_pariet_inf.Angular,-42.927,-64.441,38.345,Parietal
26,L,lG_pariet_inf.Supramar,-55.777,-36.111,31.904,Parietal
27,L,lG_parietal_sup,-18.662,-57.73,58.569,Parietal
28,L,lG_postcentral,-45.544,-25.929,54.949,Parietal
29,L,lG_precentral,-41.773,-9.72,51.554,Frontal
30,L,lG_precuneus,-7.562,-58.501,45.07,Parietal
31,L,lG_rectus,-5.893,36.009,-20.016,Frontal
32,L,lG_subcallosal,-5.987,15.553,-8.696,Limbic
33,L,lG_temp_sup.G_T_transv,-47.781,-21.011,5.17,Temporal
34,L,lG_temp_sup.Lateral,-59.331,-15.346,-0.934,Temporal
35,L,lG_temp_sup.Plan_polar,-37.993,2.343,-25.039,Temporal
36,L,lG_temp_sup.Plan_tempo,-57.002,-41.383,15.188,Temporal
37,L,lG_temporal_inf,-51.331,-37.894,-24.64,Temporal
38,L,lG_temporal_middle,-58.882,-35.896,-12.614,Temporal
39,L,lLat_Fis.ant.Horizont,-38.82,32.499,-2.872,Frontal
40,L,lLat_Fis.ant.Vertical,-43.715,21.733,8.441,Frontal
41,L,lLat_Fis.post,-39.745,-34.67,18.317,Insula
42,L,lPole_occipital,-17.721,-97.276,-5.706,Occipital
43,L,lPole_temporal,-34.89,2.935,-37.098,Temporal
44,L,lS_calcarine,-17.114,-66.698,4.784,Occipital
45,L,lS_central,-36.398,-21.981,46.486,Frontal
46,L,lS_cingul.Marginalis,-15.26,-37.588,45.383,Limbic
47,L,lS_circular_insula_ant,-27.738,22.278,-9.516,Insula
