1,L,lBSTS,-56,-44,5,Temporal
2,L,lcACC,-2,21,27,Cingulate
3,L,lcMFG,-45,18,46,Frontal
4,L,lCUN,-1,-82,20,Occipital
5,L,lENT,-16,-10,-29,Temporal
6,L,lFUS,-24,-54,-16,Temporal
7,L,lIPL,-47,-70,31,Parietal
8,L,lITG,-56,-32,-24,Temporal
9,L,liCC,-1,-48,25,Cingulate
10,L,lLOG,-43,-87,1,Occipital
11,L,lLOF,-35.98,30.71,-12.11,Frontal
12,L,lLING,-3,-73,-1,Occipital
13,L,lMOF,-4,44,-14,Frontal
14,L,lMTG,-68,-29,-13,Temporal
15,L,lPARH,-18,-30,-18,Temporal
16,L,lparaC,-3,-28,62,Frontal
17,L,lpOPER,-57,22,18,Frontal
18,L,lpORB,-44,48,-13,Frontal
19,L,lpTRI,-50,35,3,Frontal
20,L,lperiCAL,-12,-89,3,Occipital
21,L,lpostC,-50,-26,58,Parietal
22,L,lPCC,-1,-18,38,Cingulate
23,L,lpreC,-44,-12,59,Frontal
24,L,lPCUN,-9,-59,46,Parietal
25,L,lrACC,-2,39,6,Cingulate
26,L,lrMFG,-34,53,17,Frontal
27,L,lSFG,-21,38,50,Frontal
28,L,lSPL,-25,-62,63,Parietal
29,L,lSTG,-63,-7,-1,Temporal
30,L,lSMAR,-60,-41,39,Parietal
31,L,lFP,-9,65,-12,Frontal
32,L,lTP,-26,15,-35,Temporal
33,L,lTT,-49,-23,9,Temporal
34,L,lINS,-41,13,-6,Insula
35,L,Cerebellum-Cortex,,,,none
36,L,lTHAL,-11,-17,6,SCGM
37,L,lCAUD,-15,10,9,SCGM
38,L,lPUT,-30,-3,1,SCGM
39,L,lPALL,-22,-4,-1,SCGM
40,L,lHIPP,-30,-21,-13,SCGM
41,L,lAMYG,-23,-8,-15,SCGM
42,L,lACCU,-9,10,-8,SCGM
43,R,rTHAL,11,-17,6,SCGM
44,R,rCAUD,15,10,9,SCGM
45,R,rPUT,30,-3,1,SCGM
46,R,rPALL,22,-4,-1,SCGM
47,R,rHIPP,30,-21,-13,SCGM
48,R,rAMYG,23,-8,-15,SCGM
49,R,rACCU,9,10,-8,SCGM
50,R,rBSTS,50,-42,6,Temporal
51,R,rcACC,3,21,27,Cingulate
52,R,rcMFG,43,14,43,Frontal
53,R,rCUN,3,-81,19,Occipital
54,R,rENT,21,-4,-32,Temporal
55,R,rFUS,33,-52,-19,Temporal
56,R,rIPL,48,-67,29,Parietal
57,R,rITG,61,-31,-27,Temporal
58,R,riCC,1,-48,26,Cingulate
59,R,rLOG,38,-88,1,Occipital
60,R,rLOF,20,38,-21,Frontal
61,R,rLING,5,-69,-1,Occipital
62,R,rMOF,7,45,-13,Frontal
63,R,rMTG,69,-24,-14,Temporal
64,R,rPARH,20,-29,-17,Temporal
65,R,rparaC,4,-25,61,Frontal
66,R,rpOPER,57,15,17,Frontal
67,R,rpORB,49,40,-13,Frontal
68,R,rpTRI,55,31,5,Frontal
69,R,rperiCAL,14,-85,5,Occipital
70,R,rpostC,51,-23,56,Parietal
71,R,rPCC,1,-16,37,Cingulate
72,R,rpreC,47,-9,54,Frontal
73,R,rPCUN,7,-57,41,Parietal
74,R,rrACC,4,38,4,Cingulate
75,R,rrMFG,43,45,21,Frontal
76,R,rSFG,16,34,53,Frontal
77,R,rSPL,17,-65,59,Parietal
78,R,rSTG,67,-12,-1,Temporal
79,R,rSMAR,65,-36,35,Parietal
80,R,rFP,9,64,-13,Frontal
81,R,rTP,37,21,-38,Temporal
82,R,rTT,45,-25,11,Temporal
83,R,rINS,43,12,-6,Insula
84,R,Cerebellum-Cortex,,,,none
